Id,x0 (LU),y0 (LU),z0 (LU),vx0 (LU/TU),vy0 (LU/TU),vz0 (LU/TU),Jacobi constant (LU2/TU2),Period (TU),Stability index,Mass ratio
0,0.890436342216991,0,0,0,-0.274845022226161,0,3.17473248301637,16.232015768732,122.998707207257,0.012150585609624
0,0.890486493127098,0,0,0,-0.275155934382785,0,3.17473248301637,16.2325155099775,123.653201109385,0.012150585609624
0,0.890536589274504,0,0,0,-0.275466578571842,0,3.17473248301637,16.2330260602448,124.31001028545,0.012150585609624
0,0.890586631085967,0,0,0,-0.275776956658574,0,3.17473248301637,16.2335474211523,124.969162220415,0.012150585609624
0,0.890636618982349,0,0,0,-0.27608707048712,0,3.17473248301637,16.234079594556,125.630683432138,0.012150585609624
0,0.890686553377611,0,0,0,-0.276396921876986,0,3.17473248301637,16.2346225826164,126.294601276878,0.012150585609624
0,0.890736434678878,0,0,0,-0.276706512623246,0,3.17473248301637,16.2351763877939,126.960943828851,0.012150585609624
0,0.890786263284969,0,0,0,-0.277015844491372,0,3.17473248301637,16.2357410129645,127.629737758687,0.012150585609624
0,0.890836039593783,0,0,0,-0.277324919243037,0,3.17473248301637,16.2363164608848,128.301015191478,0.012150585609624
0,0.890885763990893,0,0,0,-0.277633738596216,0,3.17473248301637,16.2369027350123,128.974803710421,0.012150585609624
0,0.890935436857371,0,0,0,-0.277942304252518,0,3.17473248301637,16.2374998389428,129.651133489787,0.012150585609624
0,0.89098505856835,0,0,0,-0.278250617892125,0,3.17473248301637,16.238107776521,130.33003451028,0.012150585609624
0,0.891034629491231,0,0,0,-0.278558681167513,0,3.17473248301637,16.2387265519639,131.011539266827,0.012150585609624
0,0.891084149989224,0,0,0,-0.278866495715802,0,3.17473248301637,16.2393561696192,131.695678197145,0.012150585609624
0,0.891133620418262,0,0,0,-0.279174063147946,0,3.17473248301637,16.2399966341716,132.382483441507,0.012150585609624
0,0.891183041128045,0,0,0,-0.27948138505236,0,3.17473248301637,16.2406479505776,133.071987905795,0.012150585609624
0,0.891232412462148,0,0,0,-0.279788462995269,0,3.17473248301637,16.2413101240606,133.764225374475,0.012150585609624
0,0.891281734758874,0,0,0,-0.280095298523684,0,3.17473248301637,16.2419831600455,134.459228902581,0.012150585609624
0,0.891331008347876,0,0,0,-0.280401893153512,0,3.17473248301637,16.2426670644048,135.157031851368,0.012150585609624
0,0.891380233559005,0,0,0,-0.280708248400619,0,3.17473248301637,16.2433618428234,135.857673037305,0.012150585609624
0,0.891429410710625,0,0,0,-0.28101436573977,0,3.17473248301637,16.2440675016358,136.561185357176,0.012150585609624
0,0.891478540116751,0,0,0,-0.281320246629647,0,3.17473248301637,16.2447840473149,137.26760558448,0.012150585609624
0,0.891527622085974,0,0,0,-0.281625892509085,0,3.17473248301637,16.2455114865523,137.976970472366,0.012150585609624
0,0.891576656921539,0,0,0,-0.281931304797313,0,3.17473248301637,16.2462498262482,138.689316884352,0.012150585609624
0,0.891625644919626,0,0,0,-0.282236484887879,0,3.17473248301637,16.2469990736378,139.404684246361,0.012150585609624
0,0.891674586372423,0,0,0,-0.282541434159447,0,3.17473248301637,16.2477592360714,140.123110476589,0.012150585609624
0,0.891723481565839,0,0,0,-0.282846153967727,0,3.17473248301637,16.248530321176,140.844634873446,0.012150585609624
0,0.89177233078017,0,0,0,-0.283150645647789,0,3.17473248301637,16.249312336808,141.569297626857,0.012150585609624
0,0.891821134290406,0,0,0,-0.283454910515131,0,3.17473248301637,16.250105291034,142.297139229528,0.012150585609624
0,0.891869892365994,0,0,0,-0.283758949864828,0,3.17473248301637,16.2509091921448,143.028201190142,0.012150585609624
0,0.891918605269485,0,0,0,-0.2840627649667,0,3.17473248301637,16.2517240487461,143.762522892622,0.012150585609624
0,0.891967273262626,0,0,0,-0.284366357086847,0,3.17473248301637,16.2525498693369,144.50015219168,0.012150585609624
0,0.892015896597166,0,0,0,-0.284669727455132,0,3.17473248301637,16.2533866629522,145.241129906979,0.012150585609624
0,0.892064475521085,0,0,0,-0.284972877287156,0,3.17473248301637,16.2542344387248,145.985500107944,0.012150585609624
0,0.89211301027739,0,0,0,-0.285275807780001,0,3.17473248301637,16.2550932059701,146.73330753589,0.012150585609624
0,0.892161501103074,0,0,0,-0.285578520108504,0,3.17473248301637,16.2559629742449,147.484597884463,0.012150585609624
0,0.89220994823131,0,0,0,-0.285881015433025,0,3.17473248301637,16.2568437532239,148.239416622892,0.012150585609624
0,0.892258351888845,0,0,0,-0.286183294890177,0,3.17473248301637,16.2577355528503,148.997811440436,0.012150585609624
0,0.892306712297916,0,0,0,-0.286485359599603,0,3.17473248301637,16.2586383832148,149.759829815974,0.012150585609624
0,0.892355029675556,0,0,0,-0.28678721066149,0,3.17473248301637,16.2595522546011,150.525519955605,0.012150585609624
0,0.892403304233413,0,0,0,-0.287088849155906,0,3.17473248301637,16.2604771774957,151.294931419566,0.012150585609624
0,0.892451536178965,0,0,0,-0.287390276147092,0,3.17473248301637,16.2614131625063,152.068113913259,0.012150585609624
0,0.892499725711792,0,0,0,-0.28769149267019,0,3.17473248301637,16.2623602206181,152.845116159055,0.012150585609624
0,0.892547873032945,0,0,0,-0.287992499764518,0,3.17473248301637,16.263318362527,153.625994067019,0.012150585609624
0,0.892595978332198,0,0,0,-0.288293298428253,0,3.17473248301637,16.2642875995511,154.410798054722,0.012150585609624
0,0.892644041796787,0,0,0,-0.288593889649452,0,3.17473248301637,16.265267943004,155.19958102793,0.012150585609624
0,0.892692063608976,0,0,0,-0.28889427439739,0,3.17473248301637,16.2662594043652,155.992396919889,0.012150585609624
0,0.892740043946228,0,0,0,-0.289194453623136,0,3.17473248301637,16.2672619952672,156.789300505528,0.012150585609624
0,0.892787982980832,0,0,0,-0.289494428258215,0,3.17473248301637,16.2682757275227,157.590347482617,0.012150585609624
0,0.892835880880862,0,0,0,-0.289794199217994,0,3.17473248301637,16.2693006130475,158.395594270631,0.012150585609624
0,0.89288373780872,0,0,0,-0.290093767396465,0,3.17473248301637,16.2703366639748,159.205098835926,0.012150585609624
0,0.892931553923332,0,0,0,-0.290393133674056,0,3.17473248301637,16.2713838924812,160.018918348129,0.012150585609624
0,0.892979329378052,0,0,0,-0.290692298910144,0,3.17473248301637,16.2724423109471,160.837112264448,0.012150585609624
0,0.893027064321305,0,0,0,-0.2909912639453,0,3.17473248301637,16.2735119319064,161.65974098937,0.012150585609624
0,0.893074758895626,0,0,0,-0.291290029597864,0,3.17473248301637,16.2745927681112,162.48686253238,0.012150585609624
0,0.893122413244093,0,0,0,-0.291588596686869,0,3.17473248301637,16.2756848320576,163.31854439756,0.012150585609624
0,0.893170027500006,0,0,0,-0.291886965995184,0,3.17473248301637,16.276788136751,164.154845997754,0.012150585609624
0,0.893217601792856,0,0,0,-0.292185138290792,0,3.17473248301637,16.2779026952559,164.995832142361,0.012150585609624
0,0.893265136248737,0,0,0,-0.292483114328243,0,3.17473248301637,16.2790285206523,165.841566398299,0.012150585609624
0,0.893312630988411,0,0,0,-0.292780894841723,0,3.17473248301637,16.2801656262124,166.692115159378,0.012150585609624
0,0.893360086128803,0,0,0,-0.293078480550381,0,3.17473248301637,16.2813140252501,167.547544095514,0.012150585609624
0,0.893407501781444,0,0,0,-0.29337587215271,0,3.17473248301637,16.2824737312517,168.407922179133,0.012150585609624
0,0.893454878053976,0,0,0,-0.293673070331945,0,3.17473248301637,16.2836447577541,169.27331693342,0.012150585609624
0,0.893502215049744,0,0,0,-0.293970075754569,0,3.17473248301637,16.2848271183869,170.143797954355,0.012150585609624
0,0.893549512866746,0,0,0,-0.294266889066504,0,3.17473248301637,16.2860208269319,171.019436844101,0.012150585609624
0,0.893596771599152,0,0,0,-0.294563510898569,0,3.17473248301637,16.2872258972164,171.900304807827,0.012150585609624
0,0.893643991335079,0,0,0,-0.294859941858445,0,3.17473248301637,16.288442343274,172.786470946549,0.012150585609624
0,0.893691172163448,0,0,0,-0.295156182555288,0,3.17473248301637,16.2896701788262,173.678016568544,0.012150585609624
0,0.893738314162684,0,0,0,-0.295452233559127,0,3.17473248301637,16.2909094181332,174.575013035629,0.012150585609624
0,0.893785417409856,0,0,0,-0.295748095433651,0,3.17473248301637,16.2921600753005,175.477535983214,0.012150585609624
0,0.893832481976967,0,0,0,-0.296043768722879,0,3.17473248301637,16.2934221645535,176.385662179696,0.012150585609624
0,0.893879507931667,0,0,0,-0.29633925395369,0,3.17473248301637,16.2946957001885,177.299470708038,0.012150585609624
0,0.893926495337412,0,0,0,-0.296634551636361,0,3.17473248301637,16.295980696549,178.219040857017,0.012150585609624
0,0.893973444253396,0,0,0,-0.296929662264324,0,3.17473248301637,16.2972771680314,179.144453134251,0.012150585609624
0,0.894020354734474,0,0,0,-0.297224586313839,0,3.17473248301637,16.2985851290889,180.075789391568,0.012150585609624
0,0.894067226831267,0,0,0,-0.297519324244368,0,3.17473248301637,16.2999045942227,181.013132347414,0.012150585609624
0,0.894114060590361,0,0,0,-0.29781387649926,0,3.17473248301637,16.301235577951,181.95656625991,0.012150585609624
0,0.894160856054045,0,0,0,-0.298108243504783,0,3.17473248301637,16.3025780948525,182.906175817157,0.012150585609624
0,0.894207613258295,0,0,0,-0.298402425662834,0,3.17473248301637,16.3039321596843,183.862044662083,0.012150585609624
0,0.894254332240032,0,0,0,-0.298696423377093,0,3.17473248301637,16.3052977868456,184.824269473326,0.012150585609624
0,0.894301013027847,0,0,0,-0.298990237019544,0,3.17473248301637,16.3066749910833,185.792933300328,0.012150585609624
0,0.894347655646206,0,0,0,-0.299283866945609,0,3.17473248301637,16.3080637871585,186.768128086147,0.012150585609624
0,0.894394260117319,0,0,0,-0.299577313500882,0,3.17473248301637,16.3094641897017,187.749944073844,0.012150585609624
0,0.894440826457484,0,0,0,-0.29987057700791,0,3.17473248301637,16.3108762134915,188.73847576789,0.012150585609624
